FILE NAME,LABEL,FORMAT,SIZE,URL
COVID (1),0,PNG,256*256,https://sirm.org/category/senza-categoria/covid-19/
COVID (2),0,PNG,256*256,https://sirm.org/category/senza-categoria/covid-19/
COVID (3),0,PNG,256*256,https://sirm.org/category/senza-categoria/covid-19/
COVID (4),0,PNG,256*256,https://sirm.org/category/senza-categoria/covid-19/
COVID (5),0,PNG,256*256,https://sirm.org/category/senza-categoria/covid-19/
COVID (6),0,PNG,256*256,https://sirm.org/category/senza-categoria/covid-19/
COVID (7),0,PNG,256*256,https://sirm.org/category/senza-categoria/covid-19/
COVID (8),0,PNG,256*256,https://sirm.org/category/senza-categoria/covid-19/
COVID (9),0,PNG,256*256,https://sirm.org/category/senza-categoria/covid-19/
COVID (10),0,PNG,256*256,https://sirm.org/category/senza-categoria/covid-19/
COVID (11),0,PNG,256*256,https://sirm.org/category/senza-categoria/covid-19/
COVID (12),0,PNG,256*256,https://sirm.org/category/senza-categoria/covid-19/
COVID (13),0,PNG,256*256,https://sirm.org/category/senza-categoria/covid-19/
COVID (14),0,PNG,256*256,https://sirm.org/category/senza-categoria/covid-19/
COVID (15),0,PNG,256*256,https://sirm.org/category/senza-categoria/covid-19/
COVID (16),0,PNG,256*256,https://sirm.org/category/senza-categoria/covid-19/
COVID (17),0,PNG,256*256,https://sirm.org/category/senza-categoria/covid-19/
COVID (18),0,PNG,256*256,https://sirm.org/category/senza-categoria/covid-19/
COVID (19),0,PNG,256*256,https://sirm.org/category/senza-categoria/covid-19/
COVID (20),0,PNG,256*256,https://sirm.org/category/senza-categoria/covid-19/
COVID (21),0,PNG,256*256,https://sirm.org/category/senza-categoria/covid-19/
COVID (22),0,PNG,256*256,https://sirm.org/category/senza-categoria/covid-19/
COVID (23),0,PNG,256*256,https://sirm.org/category/senza-categoria/covid-19/
COVID (24),0,PNG,256*256,https://sirm.org/category/senza-categoria/covid-19/
COVID (25),0,PNG,256*256,https://sirm.org/category/senza-categoria/covid-19/
Viral Pneumonia (1),1,PNG,1024*1024,https://www.kaggle.com/paultimothymooney/chest-xray-pneumonia
Viral Pneumonia (2),1,PNG,1024*1024,https://www.kaggle.com/paultimothymooney/chest-xray-pneumonia
Viral Pneumonia (3),1,PNG,1024*1024,https://www.kaggle.com/paultimothymooney/chest-xray-pneumonia
Viral Pneumonia (4),1,PNG,1024*1024,https://www.kaggle.com/paultimothymooney/chest-xray-pneumonia
Viral Pneumonia (5),1,PNG,1024*1024,https://www.kaggle.com/paultimothymooney/chest-xray-pneumonia
Viral Pneumonia (6),1,PNG,1024*1024,https://www.kaggle.com/paultimothymooney/chest-xray-pneumonia
Viral Pneumonia (7),1,PNG,1024*1024,https://www.kaggle.com/paultimothymooney/chest-xray-pneumonia
Viral Pneumonia (8),1,PNG,1024*1024,https://www.kaggle.com/paultimothymooney/chest-xray-pneumonia
Viral Pneumonia (9),1,PNG,1024*1024,https://www.kaggle.com/paultimothymooney/chest-xray-pneumonia
Viral Pneumonia (10),1,PNG,1024*1024,https://www.kaggle.com/paultimothymooney/chest-xray-pneumonia
Viral Pneumonia (11),1,PNG,1024*1024,https://www.kaggle.com/paultimothymooney/chest-xray-pneumonia
Viral Pneumonia (12),1,PNG,1024*1024,https://www.kaggle.com/paultimothymooney/chest-xray-pneumonia
Viral Pneumonia (13),1,PNG,1024*1024,https://www.kaggle.com/paultimothymooney/chest-xray-pneumonia
Viral Pneumonia (14),1,PNG,1024*1024,https://www.kaggle.com/paultimothymooney/chest-xray-pneumonia
Viral Pneumonia (15),1,PNG,1024*1024,https://www.kaggle.com/paultimothymooney/chest-xray-pneumonia
Viral Pneumonia (16),1,PNG,1024*1024,https://www.kaggle.com/paultimothymooney/chest-xray-pneumonia
Viral Pneumonia (17),1,PNG,1024*1024,https://www.kaggle.com/paultimothymooney/chest-xray-pneumonia
Viral Pneumonia (18),1,PNG,1024*1024,https://www.kaggle.com/paultimothymooney/chest-xray-pneumonia
Viral Pneumonia (19),1,PNG,1024*1024,https://www.kaggle.com/paultimothymooney/chest-xray-pneumonia
Viral Pneumonia (20),1,PNG,1024*1024,https://www.kaggle.com/paultimothymooney/chest-xray-pneumonia
Viral Pneumonia (21),1,PNG,1024*1024,https://www.kaggle.com/paultimothymooney/chest-xray-pneumonia
Viral Pneumonia (22),1,PNG,1024*1024,https://www.kaggle.com/paultimothymooney/chest-xray-pneumonia
Viral Pneumonia (23),1,PNG,1024*1024,https://www.kaggle.com/paultimothymooney/chest-xray-pneumonia
Viral Pneumonia (24),1,PNG,1024*1024,https://www.kaggle.com/paultimothymooney/chest-xray-pneumonia
Viral Pneumonia (25),1,PNG,1024*1024,https://www.kaggle.com/paultimothymooney/chest-xray-pneumonia
NORMAL (1),2,PNG,1024*1024,https://www.kaggle.com/paultimothymooney/chest-xray-pneumonia
NORMAL (2),2,PNG,1024*1024,https://www.kaggle.com/paultimothymooney/chest-xray-pneumonia
NORMAL (3),2,PNG,1024*1024,https://www.kaggle.com/paultimothymooney/chest-xray-pneumonia
NORMAL (4),2,PNG,1024*1024,https://www.kaggle.com/paultimothymooney/chest-xray-pneumonia
NORMAL (5),2,PNG,1024*1024,https://www.kaggle.com/paultimothymooney/chest-xray-pneumonia
NORMAL (6),2,PNG,1024*1024,https://www.kaggle.com/paultimothymooney/chest-xray-pneumonia
NORMAL (7),2,PNG,1024*1024,https://www.kaggle.com/paultimothymooney/chest-xray-pneumonia
NORMAL (8),2,PNG,1024*1024,https://www.kaggle.com/paultimothymooney/chest-xray-pneumonia
NORMAL (9),2,PNG,1024*1024,https://www.kaggle.com/paultimothymooney/chest-xray-pneumonia
NORMAL (10),2,PNG,1024*1024,https://www.kaggle.com/paultimothymooney/chest-xray-pneumonia
NORMAL (11),2,PNG,1024*1024,https://www.kaggle.com/paultimothymooney/chest-xray-pneumonia
NORMAL (12),2,PNG,1024*1024,https://www.kaggle.com/paultimothymooney/chest-xray-pneumonia
NORMAL (13),2,PNG,1024*1024,https://www.kaggle.com/paultimothymooney/chest-xray-pneumonia
NORMAL (14),2,PNG,1024*1024,https://www.kaggle.com/paultimothymooney/chest-xray-pneumonia
NORMAL (15),2,PNG,1024*1024,https://www.kaggle.com/paultimothymooney/chest-xray-pneumonia
NORMAL (16),2,PNG,1024*1024,https://www.kaggle.com/paultimothymooney/chest-xray-pneumonia
NORMAL (17),2,PNG,1024*1024,https://www.kaggle.com/paultimothymooney/chest-xray-pneumonia
NORMAL (18),2,PNG,1024*1024,https://www.kaggle.com/paultimothymooney/chest-xray-pneumonia
NORMAL (19),2,PNG,1024*1024,https://www.kaggle.com/paultimothymooney/chest-xray-pneumonia
NORMAL (20),2,PNG,1024*1024,https://www.kaggle.com/paultimothymooney/chest-xray-pneumonia
NORMAL (21),2,PNG,1024*1024,https://www.kaggle.com/paultimothymooney/chest-xray-pneumonia
NORMAL (22),2,PNG,1024*1024,https://www.kaggle.com/paultimothymooney/chest-xray-pneumonia
NORMAL (23),2,PNG,1024*1024,https://www.kaggle.com/paultimothymooney/chest-xray-pneumonia
NORMAL (24),2,PNG,1024*1024,https://www.kaggle.com/paultimothymooney/chest-xray-pneumonia
NORMAL (25),2,PNG,1024*1024,https://www.kaggle.com/paultimothymooney/chest-xray-pneumonia
